epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,1.1749382404327393,0.5633333325386047,0.8151259894371032,0.6912000179290771,0.00048089712487680344,9.365369291001116
2,0.7659864759206771,0.7164999842643738,0.6484817175865173,0.763700008392334,0.0009751088405610007,18.505263791001198
3,0.6732968974590301,0.7450833320617676,0.6341316739559174,0.770799994468689,0.001650188512315253,27.826782041000115
4,0.6030302068948745,0.7714999914169312,0.5270140770912171,0.8069000244140625,0.0023252176635719752,37.23311841599934
5,0.5512866431951523,0.7935666441917419,0.4600070713996887,0.8300999999046326,0.0028192913570417293,46.7444859999996
6,0.49991934827963513,0.8137500286102295,0.4654746399879456,0.8267999887466431,0.0029999999893649976,56.632299625001906
7,0.4652575568358103,0.8290166854858398,0.42644938406944277,0.8468000292778015,0.0029627283918257376,66.28607904100136
8,0.44404086041053137,0.8369166851043701,0.39234715054035185,0.8571000099182129,0.0028528616475330336,75.71306000000186
9,0.42336492007573445,0.8449833393096924,0.3843766951799393,0.8603000044822693,0.0026759089338092923,85.26614591600082
10,0.4068758889277776,0.8497166633605957,0.3723059899091721,0.868399977684021,0.002440743398610807,94.69465499999933
11,0.3946692740241686,0.8563166856765747,0.35819974095821383,0.8705000281333923,0.0021591572238381872,104.19825104100164
12,0.3823928689400355,0.8607000112533569,0.34426167125701906,0.8773000240325928,0.001845270316096,113.74330137500147
13,0.36624230087598164,0.8669166564941406,0.3393623424291611,0.8780999779701233,0.0015148222756160212,123.16534108300038
14,0.3552453014155229,0.8710166811943054,0.33212077963352205,0.8827999830245972,0.0011843831469787675,132.72319116600193
15,0.34691070912281674,0.8743000030517578,0.3209462874650955,0.8842999935150146,0.0008705225278877486,142.10996033300034
16,0.3370812654217084,0.8784666657447815,0.3194298977971077,0.8858000040054321,0.0005889787003519998,151.53569162500207
17,0.32975545948743823,0.8801500201225281,0.3140419439196587,0.8873000144958496,0.0003538694475088029,161.3041599160024
18,0.3232943153858185,0.8825333118438721,0.30766007739305495,0.8913999795913696,0.00017698412902646045,170.76275266599987
19,0.32083164195418357,0.8829333186149597,0.30788450306653975,0.8909000158309937,6.719251338244275e-05,180.41272679100075
20,0.3168178394675255,0.884850025177002,0.3064226522445679,0.8913999795913696,3.0000010635002354e-05,190.07404762499937
