epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,1.1768311994234721,0.5666000247001648,0.8048754759788513,0.6984000205993652,0.00048089712487680344,22.608298099949025
2,0.7736944882949194,0.7102333307266235,0.6526973645687103,0.757099986076355,0.0009751088405610007,44.22508379991632
3,0.6715043079853058,0.7465333342552185,0.6511429082393646,0.7648000121116638,0.001650188512315253,66.76258469989989
4,0.6092249922593435,0.772683322429657,0.5286757581233978,0.7986000180244446,0.0023252176635719752,89.24394889990799
5,0.5500992659330368,0.7967000007629395,0.45848903946876524,0.8306000232696533,0.0028192913570417293,110.39900089998264
6,0.5006803423007329,0.8158166408538818,0.4421263821601868,0.8367000222206116,0.0029999999893649976,131.58403939998243
7,0.47149803812503815,0.8289333581924438,0.41129057505130767,0.8518999814987183,0.0029627283918257376,153.74410249991342
8,0.4473673695643743,0.8383499979972839,0.38032200443744657,0.8647000193595886,0.0028528616475330336,175.65116249991115
9,0.4348713958144188,0.8417666554450989,0.398801496553421,0.8564000129699707,0.0026759089338092923,197.93005959992297
10,0.4162159434914589,0.8497166633605957,0.37062550160884855,0.8708000183105469,0.002440743398610807,220.01895319996402
11,0.4051709113399188,0.8536166548728943,0.356392360496521,0.8730999827384949,0.0021591572238381872,242.17966669995803
12,0.3880147537748019,0.8601166605949402,0.34880272245407107,0.8758000135421753,0.001845270316096,263.4472798999632
13,0.37907418248653413,0.862666666507721,0.3357670145153999,0.8794999718666077,0.0015148222756160212,285.0415937999496
14,0.36629812585115434,0.8668500185012817,0.3338291454792023,0.8822000026702881,0.0011843831469787675,307.5229064999148
15,0.35573035158316296,0.8702666759490967,0.32958062765598295,0.8822000026702881,0.0008705225278877486,329.4254122999264
16,0.3504622788786888,0.8724166750907898,0.32577645815610884,0.8830999732017517,0.0005889787003519998,351.421658199979
17,0.34007068471511204,0.8763666749000549,0.3190306211709976,0.8853999972343445,0.0003538694475088029,373.9742308999412
18,0.33373932155569397,0.8794000148773193,0.31382794439792633,0.8877000212669373,0.00017698412902646045,396.9345731999492
19,0.3285641604701678,0.8801166415214539,0.31092805967330933,0.8894000053405762,6.719251338244275e-05,418.7482905999059
20,0.3252938025931517,0.8824499845504761,0.31141897811889646,0.88919997215271,3.0000010635002354e-05,440.0953364999732
1,0.8876419930775961,0.6820999979972839,0.5449227765083313,0.8026000261306763,0.00048111662249735246,22.601828700047918
2,0.5446767058213552,0.8017500042915344,0.44269937000274656,0.8417999744415283,0.0009758691108118561,25.51864490006119
3,0.43122683380444843,0.8437666893005371,0.4127868222236633,0.8464999794960022,0.001651505021009166,28.317168200039305
4,0.3689292730808258,0.8646000027656555,0.3118147883415222,0.8881999850273132,0.0023267371025813373,31.180796100059524
5,0.3206441350618998,0.8821333050727844,0.3077654287338257,0.8877000212669373,0.002820386460689545,34.09895670006517
6,0.29004012967745463,0.8931333422660828,0.2865847270488739,0.8949999809265137,0.0029999993229755163,36.97102390008513
7,0.27375620335737866,0.8992999792098999,0.2472866641521454,0.9107999801635742,0.0029624517518538184,39.84409480006434
8,0.25209270294507347,0.90788334608078,0.22927876266241073,0.9174000024795532,0.002852322905862015,42.69320360000711
9,0.24016684419314066,0.9108499884605408,0.2191048493385315,0.9205999970436096,0.0026751351051961503,45.612290500081144
10,0.23180744241078693,0.9144999980926514,0.26427534379959106,0.8984000086784363,0.0024397732860534306,48.50959290005267
11,0.21851274461746215,0.9189666509628296,0.2202011281490326,0.920199990272522,0.00215803947283104,51.410268799983896
12,0.2062537710348765,0.9235166907310486,0.21075853859186172,0.9210000038146973,0.0018440609753419027,54.35170180001296
13,0.19470047391255696,0.9275833368301392,0.19825911192893983,0.9287999868392944,0.0015135819865101515,57.24595620005857
14,0.18655768541097642,0.9308500289916992,0.19393330578804016,0.9283000230789185,0.0011831741027958898,60.12618180003483
15,0.1765131832520167,0.9341166615486145,0.1978608472585678,0.9251999855041504,0.0008694053551517214,63.07953650003765
16,0.16736870340506235,0.9381999969482422,0.18384305871725082,0.9348000288009644,0.0005880094187687137,66.10392040002625
17,0.1594810393333435,0.9411166906356812,0.18629225449562073,0.9320999979972839,0.00035309666090421266,69.01997650007252
18,0.1522033936738968,0.9430166482925415,0.1790611827850342,0.9340000152587891,0.0001764465881477953,72.03876879997551
19,0.1448196438550949,0.9464333057403564,0.17749859256744385,0.9355000257492065,6.691717277393429e-05,75.03652429999784
20,0.14379770747025808,0.9472666382789612,0.17667476332187654,0.9361000061035156,3.0000677024483493e-05,78.01797080005053
1,0.9467051086425782,0.8100833296775818,0.8101151529312134,0.8700000047683716,0.000329517422852736,53.01122760004364
2,0.8100885822296142,0.8719666600227356,0.7994444890975952,0.878600001335144,0.00041677890881558575,91.07734149997123
3,0.7732335235595703,0.887416660785675,0.7710678480148315,0.8888999819755554,0.0005579685553997742,129.23457610001788
4,0.7526128138224284,0.8951500058174133,0.7266545625686646,0.9074000120162964,0.0007469122077895167,167.40151869994588
5,0.7386662019093831,0.9003999829292297,0.7288367271423339,0.9025999903678894,0.000975347451639734,205.59649050002918
6,0.7304295579274496,0.9038666486740112,0.7235585668563843,0.9049000144004822,0.00123328492445088,244.493943199981
