epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,1.7416192699813844,0.4187999963760376,1.544477565574646,0.5300999879837036,0.0004810164500990109,77.28716229996644
2,1.474194783935547,0.5615599751472473,1.3638867588043213,0.609000027179718,0.000975522163053159,90.7156321000075
3,1.3559148054504395,0.6210600137710571,1.5816772010803222,0.5497000217437744,0.0016509042963251982,103.8308736999752
4,1.2635082411956786,0.670199990272522,1.218198051261902,0.6877999901771545,0.0023260439221740896,116.78871079999954
5,1.1923093395233155,0.7067599892616272,1.4024225755691528,0.6409000158309937,0.002819887146685254,129.73271280003246
6,1.148831807937622,0.7278599739074707,1.1851890041351318,0.7197999954223633,0.002999999755439336,142.73093740001787
7,1.1122098565292358,0.7472800016403198,1.093279651451111,0.7547000050544739,0.0029625780657302043,155.71863739995752
8,1.0885856935882567,0.7575200200080872,1.249414157104492,0.6887999773025513,0.0028525687672457663,168.63129769999068
9,1.0701883227157594,0.7688800096511841,1.1138152923583984,0.7480000257492065,0.0026754881855708557,181.76874129998032
10,1.0488244992828368,0.7777199745178223,1.0927560359954833,0.7621999979019165,0.0024402158804947686,195.04203260003123
