epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,1.065251977666219,0.7536333203315735,0.8872701778411866,0.8364999890327454,0.00048111662249735246,3.1142823999980465
2,0.8549220233917236,0.8485666513442993,0.8008296968460084,0.8693000078201294,0.0009758691108118561,6.0676913999486715
3,0.8010247117360433,0.8697666525840759,0.7779462833404541,0.8790000081062317,0.001651505021009166,8.988005899940617
4,0.7709522083918253,0.8852999806404114,0.7504910046577453,0.8950999975204468,0.0023267371025813373,12.005008299951442
5,0.7500057455062866,0.8945000171661377,0.7376535972595215,0.8998000025749207,0.002820386460689545,14.934783899923787
6,0.7398349326133729,0.8996000289916992,0.738877013015747,0.8980000019073486,0.0029999993229755163,17.855141200008802
7,0.7279773594856263,0.9050666689872742,0.7276007269859314,0.9056000113487244,0.0029624517518538184,20.77741330000572
8,0.7238819320996602,0.9071499705314636,0.7361460760116577,0.9032999873161316,0.002852322905862015,23.678322299965657
9,0.7156670358022054,0.9102166891098022,0.6994105927467347,0.9144999980926514,0.0026751351051961503,26.684701399994083
10,0.7126469765663147,0.9104499816894531,0.7007179407119751,0.9165999889373779,0.0024397732860534306,29.61797739996109
11,0.7087892739613851,0.9136833548545837,0.6984183789253234,0.9157000184059143,0.00215803947283104,32.55177209991962
12,0.7064457749684652,0.9142000079154968,0.6990264307022095,0.9143000245094299,0.0018440609753419027,35.50959409994539
13,0.6995304667154948,0.9175666570663452,0.694415424156189,0.9178000092506409,0.0015135819865101515,38.44778159994166
14,0.6994440398534139,0.9176499843597412,0.7059487259864807,0.9143999814987183,0.0011831741027958898,41.391845699981786
15,0.6939471828460694,0.9204000234603882,0.6922356247901916,0.9176999926567078,0.0008694053551517214,44.30240159993991
16,0.6940958145777384,0.9197166562080383,0.6859333641052247,0.920199990272522,0.0005880094187687137,47.333843900007196
17,0.6913573015848795,0.9206333160400391,0.686373964881897,0.9215999841690063,0.00035309666090421266,50.29768019996118
18,0.6901341876665751,0.9211166501045227,0.6885097772598266,0.9217000007629395,0.0001764465881477953,53.27761320001446
19,0.6883858987808228,0.9224833250045776,0.6914530641555786,0.9185000061988831,6.691717277393429e-05,56.16244509990793
20,0.6866373872121175,0.9229166507720947,0.6870074834823608,0.9211000204086304,3.0000677024483493e-05,59.11627669993322
